Words                       Paths    Length   Nodes
car<-->automobile               1         0       4
gem<-->jewel                    1         0      21
journey<-->voyage               1         1       5
boy<-->lad                      1         1       8
coast<-->shore                  1         1      21
asylum<-->madhouse              1         1       8
magician<-->wizard              1         0       9
midday<-->noon                  1         0       1
furnace<-->stove                1         9      11
food<-->fruit                   1         9      20
bird<-->cock                    1         1      43
bird<-->crane                   1         3      34
tool<-->implement               1         1      35
brother<-->monk                 1         1       4
lad<-->brother                  1         4       8
crane<-->implement              1         4      14
journey<-->car                  1        16      23
monk<-->oracle                  1         7      17
cemetery<-->woodland            1         8       9
food<-->rooster                 2        15      17
coast<-->hill                   1         4      22
forest<-->graveyard             1         8      10
shore<-->woodland               1         1       9
monk<-->slave                   1         4       5
coast<-->forest                 1         5      22
lad<-->wizard                   1         4      10
chord<-->smile                  2        10      17
glass<-->magician               1         7      33
rooster<-->voyage               1        22      25
noon<-->string                  1        11      30
